OBJECTID,URL_PATH,IMAGE_PATH,IMAGE_ALT_,PHOTOCREDI,PAGETITLE,ATT_NAMES_PROC,LASTMODIFI,LATITUDE,LONGTITUDE,ADDRESS,POSTALCODE,OVERVIEW,EXTERNAL_L,META_DESCR,OPENING_HO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
1,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinatown-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinatown-heritage-centre-carousel01-rect.jpg,Learn more about local Chinese culture at the Singapore Chinatown Heritage Centre.,Joel Chua DY,"Chinatown Heritage Centre, Singapore",Chinatown Heritage Centre|牛车水文化遗产中心,2015-11-02T10:16:52.847+08:00,1.28351,103.84435,48 Pagoda Street,,Experience how Singapore08:00,http://www.singaporechinatown.com.sg/,"At the Chinatown Heritage Centre, experience how Singaporeinatown Heritage Centre.","Daily, 9am atown Heritage Centre, experience how Singaporeinatown Heritage Centre.",255C03B58EE7B003,2017-01-09,29227.7061,29549.5371
2,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,"The Thian Hock Keng Temple in Singapore is dedicated to Mazu, the Goddess of the Sea.",Joel Chua DY,"Thian Hock Keng Temple, Singapore",Thian Hock Keng Temple|天福宫,2015-11-02T10:20:57.245+08:00,1.28094,103.84763,158 Telok Ayer Street,,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",http://www.thianhockkeng.com.sg,"Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Daily, 7.30am g Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",D5D3E3930E0C117F,2017-01-09,29592.7445,29265.3615
3,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,Discover the history and culture of the Eurasian community in Singapore.,Joel Chua DY,Eurasian Heritage Centre: Singapore Attraction,Eurasian Heritage Centre|欧亚文化中心,2015-11-02T10:13:25.883+08:00,1.31007,103.89942,139 Ceylon Road,,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,http://www.eurasians.org.sg/,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,"Tuesday to Sunday, 9am attraction takes you through the history and culture of the Eurasian community in Singapore.",9CB05BD01BA1715C,2017-01-09,35356.4676,32486.4992
4,www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,The varying styles of Singapore's shophouses are a showcase of our evolving architecture.,,Shophouses,Shophouses|店屋,2015-11-02T10:15:26.429+08:00,1.2772186,103.8373356,,0,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",,"Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.",,720A9127274D4EF2,2017-01-09,28447.0623,28853.8642
5,www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,The Pinnacle@Duxton's architecture is a refreshing change in a sea of concrete blocks.,Malcolm Tredinnick,Pinnacle@Duxton,Pinnacle@Duxton|达士岭组屋,2015-11-02T09:37:49.535+08:00,1.27549,103.84142,1 Cantonment Road,,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,http://www.pinnacleduxton.com.sg,"With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.","50th storey Skybridge, Daily, 9am  sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.",2C6A0BFEF4508DE7,2017-01-09,28901.624,28662.7257
6,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hajjah-fatimah-mosque.html,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,The Hajjah Fatimah Mosque in Singapore features an intriguing blend of cross-cultural architectural influences.,,Hajjah Fatimah Mosque,Hajjah Fatimah Mosque|哈贾法蒂玛清真寺,2015-11-02T09:55:25.479+08:00,1.30291,103.86285,4001 Beach Road,,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,,"With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.","Daily, 9am lting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.",7E566C807458EAF9,2017-01-09,31286.5785,31694.7056
7,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html,,,,Haw Par Villa: Singapore Theme Park,Haw Par Villa|虎豹别墅,2015-11-02T10:03:18.577+08:00,1.28551,103.78314,262 Pasir Panjang Road,,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,,A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.,"Daily, 9am the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.",5D5A48757DF05F69,2017-01-09,22415.5418,29770.739
8,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/nus-baba-house.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,Beautifully preserved architecture and artefacts make the NUS Baba House a must-visit.,,NUS Baba House - Singapore Peranakan Architecture,NUS Baba House|国立新加坡大学峇峇屋,2015-11-02T10:05:26.618+08:00,1.27731,103.83731,157 Neil Road,,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",http://www.nus.edu.sg/museum/baba,"NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm ifully preserved architecture and artefacts.",0DA5B95C21C26A5A,2017-01-09,28444.2132,28863.9707
9,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html,,,,Hong San See Temple Singapore,Hong San See Temple|凤山寺,2015-11-02T10:04:31.503+08:00,1.29316,103.841222,31 Mohamed Sultan Road,,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",,Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.,Daily,B87236103D7369A5,2017-01-09,28879.5822,30616.583
10,www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,The Capitol Building's distinctive facade adds a touch of grandeur to the cityscape.,,Capitol Building Singapore,Singapore Capitol Building|新加坡国会大厦,2015-11-02T10:06:38.723+08:00,1.29354,103.85157,11 Stamford Road,,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,http://www.capitolsingapore.com,"Now undergoing massive restoration works, Capitol Building will emerge as Singaporement hub when Capitol Building reopens next year.",,C7F2EE424864FB14,2017-01-09,30031.2246,30658.6073
11,www.yoursingapore.com/en/see-do-singapore/architecture/modern/esplanade-theatres-on-the-bay.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,Catch a world-class opera or pop concert at Singaporedo-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,,Esplanade Theatre,Esplanade Theatre|滨海艺术中心剧院,2015-11-02T09:14:44.054+08:00,1.28986,103.85528,1 Esplanade Drive,,This boldly designed performing arts centre has become a memorable part of Singaporesplanade-theatres-on-the-bay-carousel01-rect.jpg,http://www.esplanade.com,The Esplanade is boldly designed performing arts centre that has become a memorable part of Singapore-on-the-bay-carousel01-rect.jpg,,CBF71A2C5371C288,2017-01-09,30444.1189,30251.6951
12,www.yoursingapore.com/en/see-do-singapore/architecture/modern/gardens-by-the-bay.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg,"Gardens by the Bay seamlessly blends sleek design, cutting-edge technology and fun.",,Gardens by the Bay,Gardens by the Bay|滨海湾花园,2015-11-02T09:42:14.206+08:00,1.281568,103.863613,18 Marina Gardens Drive,,The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes the-bay-carousel01-rect.jpg,http://www.gardensbythebay.com.sg,"Biodomes, baobabs and the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.",Outdoor Gardens: 5am  the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.,FA494CA6D6146237,2017-01-09,31371.5217,29334.818
13,www.yoursingapore.com/en/see-do-singapore/architecture/modern/the-interlace.html,,,,The Interlace,The Interlace|嘉途丽,2015-11-02T09:19:31.553+08:00,1.28199,103.80305,180-226 Depot Road,,There26 Depot Road,http://www.theinterlace.com,"Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex.",,D95F49E8D6A32926,2017-01-09,24631.3547,29381.4805
14,www.yoursingapore.com/en/see-do-singapore/architecture/modern/parkroyal-on-pickering.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg,Pamper yourself and save the world at the same time at PARKROYAL on Pickering.,,PARKROYAL on Pickering,PARKROYAL on Pickering|皇家艾美酒店,2015-11-02T09:34:05.378+08:00,1.285563,103.846522,3 Upper Pickering Street,,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,,86BB3E462786BDFE,2017-01-09,29469.4305,29776.5482
15,www.yoursingapore.com/en/see-do-singapore/architecture/modern/lasalle-college-of-the-arts.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg,Lasalle College of the Arts pushes the boundaries of creativity in architecture,Lasalle College of the Arts,Lasalle College of the Arts,Lasalle College of the Arts|拉萨尔艺术学院,2015-11-02T09:49:08.755+08:00,1.3029,103.8516,1 McNally Street,,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,https://www.lasalle.edu.sg,"Lasalle College of the Arts evokes awe with its bold, graphic lines and stunning reinterpretation of nature.","Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours",C3B4EB77BCC4F51D,2017-01-09,30034.5559,31693.5879
16,www.yoursingapore.com/en/see-do-singapore/architecture/historical/old-supreme-court.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg,The Old Supreme Court lends a stately presence to the heart of Singapore city.,,Old Supreme Court Singapore,Singapore Old Supreme Court|新加坡旧最高法院大厦,2015-11-02T09:51:34.087+08:00,1.2897,103.85128,1 St Andrew's Road,,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",http://app.supremecourt.gov.sg/,"Due to reopen as the National Gallery Singapore, the Old Supreme Court is in itself a masterpiece of classical art.",Expected to open in 2015,18E4CDB43DDACBCD,2017-01-09,29998.953,30233.9997
17,www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg,The charm of Tiong Bahru comes to life through its Art Deco architecture.,,SIT Flats Singapore,SIT Flats|新加坡建屋发展局组屋,2015-11-02T10:09:11.340+08:00,1.28351,103.8336,Seng Poh Road and Tiong Bahru Road,0,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,,The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.,,DA27CAA0D434D73E,2017-01-09,28031.3197,29549.5343
18,www.yoursingapore.com/en/see-do-singapore/architecture/historical/lau-pa-sat.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg,"Lau Pa Sat blends graceful colonial architecture, heritage and delicious food.",,Lau Pa Sat Singapore,Lau Pa Sat|劳巴萨,2015-11-02T09:59:12.640+08:00,1.28072,103.85044,18 Raffles Quay,,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",http://www.laupasat.biz,"The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food.","Daily, 24 hours",A9FB88B3B9A04B47,2017-01-09,29905.4748,29241.037
